time_index,figi,weight,price
2024-03-07 01:00:00+01:00,FQrVehv9tTHl,0.09191026,495.83
2024-03-07 01:00:00+01:00,4fcxQmwAjynz,0.24923094,399.16
2024-03-07 01:00:00+01:00,m8qqW6CbSUAo,0.18586656,88.46
2024-03-07 01:00:00+01:00,mhWnrrN5KIeV,0.046992093,177.29478
2024-03-08 01:00:00+01:00,kRRJi8L3IpVj,0.21313378,168.6
2024-03-08 01:00:00+01:00,LKAhU1EQImhD,0.15416944,176.45184
2024-03-08 01:00:00+01:00,VYBy6kKaBImr,0.06555658,133.25
2024-03-08 01:00:00+01:00,FQrVehv9tTHl,0.09196137,509.43
2024-03-08 01:00:00+01:00,4fcxQmwAjynz,0.25064337,404.55
2024-03-08 01:00:00+01:00,m8qqW6CbSUAo,0.17781924,91.58
2024-03-08 01:00:00+01:00,mhWnrrN5KIeV,0.04671622,177.88457
2024-03-09 01:00:00+01:00,kRRJi8L3IpVj,0.21313378,168.6
2024-03-09 01:00:00+01:00,LKAhU1EQImhD,0.15416944,176.45184
2024-03-09 01:00:00+01:00,VYBy6kKaBImr,0.06555658,133.25
2024-03-09 01:00:00+01:00,FQrVehv9tTHl,0.09196137,509.43
2024-03-09 01:00:00+01:00,4fcxQmwAjynz,0.25064337,404.55
2024-03-09 01:00:00+01:00,m8qqW6CbSUAo,0.17781924,91.58
2024-03-09 01:00:00+01:00,mhWnrrN5KIeV,0.04671622,177.88457
2024-03-10 01:00:00+01:00,kRRJi8L3IpVj,0.21313378,168.6
2024-03-10 01:00:00+01:00,LKAhU1EQImhD,0.15416944,176.45184
2024-03-10 01:00:00+01:00,VYBy6kKaBImr,0.06555658,133.25
2024-03-10 01:00:00+01:00,FQrVehv9tTHl,0.09196137,509.43
2024-03-10 01:00:00+01:00,4fcxQmwAjynz,0.25064337,404.55
2024-03-10 01:00:00+01:00,m8qqW6CbSUAo,0.17781924,91.58
2024-03-10 01:00:00+01:00,mhWnrrN5KIeV,0.04671622,177.88457
2024-03-11 01:00:00+01:00,kRRJi8L3IpVj,0.21726185,170.75
2024-03-11 01:00:00+01:00,LKAhU1EQImhD,0.15231508,176.24512
2024-03-11 01:00:00+01:00,VYBy6kKaBImr,0.06714718,135.6
2024-03-11 01:00:00+01:00,FQrVehv9tTHl,0.088551946,508.68
2024-03-11 01:00:00+01:00,4fcxQmwAjynz,0.25145364,404.05
2024-03-11 01:00:00+01:00,m8qqW6CbSUAo,0.17555386,91.05
2024-03-11 01:00:00+01:00,mhWnrrN5KIeV,0.04771645,177.08275
2024-03-12 01:00:00+01:00,kRRJi8L3IpVj,0.21230376,172.14
